date;device-id;rssi;snr;payload
2024-02-21T19:35:09.706375703Z;eui-70b3d57ed00633b8;-47;11.5;11011;19.84;41.67;985.53;;;;42.00;5.00;40.20;33.69
2024-02-21T19:36:15.011684032Z;eui-70b3d57ed00633b8;-42;11;11011;19.80;41.73;985.48;;;;42.00;5.00;40.20;33.69
2024-02-21T19:37:21.306529445Z;eui-70b3d57ed00633b8;-45;13.5;11011;19.76;41.80;985.46;;;;42.00;5.00;40.20;33.69
2024-02-21T19:38:27.598810053Z;eui-70b3d57ed00633b8;-47;13.75;11011;19.66;42.11;985.42;;;;42.00;5.00;40.20;33.69
2024-02-21T19:39:33.879676287Z;eui-70b3d57ed00633b8;-47;13.75;11011;19.64;42.18;985.46;;;;42.00;5.00;40.20;33.69
2024-02-21T19:40:40.171305334Z;eui-70b3d57ed00633b8;-49;13.5;11011;19.59;42.19;985.43;;;;42.00;5.00;40.20;33.69
2024-02-21T19:41:46.475164138Z;eui-70b3d57ed00633b8;-52;13.5;11011;19.55;42.27;985.37;;;;42.00;5.00;40.20;33.69
2024-02-21T19:42:52.768489685Z;eui-70b3d57ed00633b8;-47;13.75;11011;19.51;42.28;985.27;;;;42.00;5.00;40.20;33.69
2024-02-21T19:43:59.062103805Z;eui-70b3d57ed00633b8;-48;11.75;11011;19.50;42.39;985.31;;;;42.00;5.00;40.20;33.69
2024-02-21T19:45:05.361736588Z;eui-70b3d57ed00633b8;-51;13.75;11011;19.47;42.44;985.30;;;;42.00;5.00;40.20;33.69
2024-02-21T19:49:50.317463515Z;eui-70b3d57ed00633b8;-51;13.25;11011;19.39;42.62;985.20;;;;42.00;5.00;40.20;33.69
2024-02-21T19:51:08.340911342Z;eui-70b3d57ed00633b8;-32;13.75;11011;19.39;42.61;985.11;;;;42.00;5.00;40.20;33.69
