date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T15:33:15.771154325Z;eui-70b3d57ed00633b8;-45;14;11011;21.28;43.51;965.51;;;;42.00;5.00;40.20;33.69
2024-02-22T15:34:22.069513813Z;eui-70b3d57ed00633b8;-44;13.5;11011;21.30;43.60;965.46;;;;42.00;5.00;40.20;33.69
2024-02-22T15:35:28.360389824Z;eui-70b3d57ed00633b8;-47;13.5;11011;21.26;43.74;965.43;;;;42.00;5.00;40.20;33.69
2024-02-22T15:36:34.663662145Z;eui-70b3d57ed00633b8;-47;13.5;11011;21.26;43.65;965.43;;;;42.00;5.00;40.20;33.69
2024-02-22T15:37:40.968319048Z;eui-70b3d57ed00633b8;-44;10.5;11011;21.28;43.63;965.40;;;;42.00;5.00;40.20;33.69
2024-02-22T15:38:47.249886726Z;eui-70b3d57ed00633b8;-45;13.5;11011;21.26;43.42;965.40;;;;42.00;5.00;40.20;33.69
2024-02-22T15:39:53.547343501Z;eui-70b3d57ed00633b8;-44;10.25;11011;21.26;43.98;965.37;;;;42.00;5.00;40.20;33.69
2024-02-22T15:40:59.824968159Z;eui-70b3d57ed00633b8;-43;13.5;11011;21.25;43.58;965.37;;;;42.00;5.00;40.20;33.69
2024-02-22T15:47:55.531878629Z;eui-70b3d57ed00633b8;-42;13.75;11011;21.24;43.83;965.34;;;;42.00;5.00;40.20;33.69
2024-02-22T15:49:23.195556606Z;eui-70b3d57ed00633b8;-37;13.75;11011;21.23;43.83;965.30;;;;42.00;5.00;40.20;33.69
2024-02-22T15:50:58.024778754Z;eui-70b3d57ed00633b8;-45;10;11011;21.29;43.70;965.29;;;;42.00;5.00;40.20;33.69
2024-02-22T15:52:04.324303440Z;eui-70b3d57ed00633b8;-49;11.25;11011;21.33;43.61;965.23;;;;42.00;5.00;40.20;33.69
2024-02-22T15:56:20.989046425Z;eui-70b3d57ed00633b8;-42;10;11011;21.32;43.62;965.25;;;;42.00;5.00;40.20;33.69
2024-02-22T15:57:54.258101605Z;eui-70b3d57ed00633b8;-42;13.25;11011;21.31;43.65;965.32;;;;42.00;5.00;40.20;33.69
2024-02-22T15:59:29.084333959Z;eui-70b3d57ed00633b8;-46;14;11011;21.29;43.58;965.16;;;;42.00;5.00;40.20;33.69
2024-02-22T16:00:34.680794956Z;eui-70b3d57ed00633b8;-53;13.5;11011;21.16;44.19;965.22;50.047180;10.206106;247.60;42.00;5.00;40.20;33.69
2024-02-22T16:01:40.979875727Z;eui-70b3d57ed00633b8;-61;13.75;11011;21.39;43.29;965.11;;;;42.00;5.00;40.20;33.69
2024-02-22T16:02:47.274072926Z;eui-70b3d57ed00633b8;-57;10.25;11011;21.40;43.15;965.11;;;;42.00;5.00;40.20;33.69
2024-02-22T16:03:53.564782699Z;eui-70b3d57ed00633b8;-58;14;11011;21.59;42.71;965.06;;;;42.00;5.00;40.20;33.69
2024-02-22T16:04:59.857021977Z;eui-70b3d57ed00633b8;-57;13.75;11011;21.66;42.57;965.12;;;;42.00;5.00;40.20;33.69
2024-02-22T16:06:06.166362089Z;eui-70b3d57ed00633b8;-57;10.75;11011;21.66;42.82;965.12;;;;42.00;5.00;40.20;33.69
2024-02-22T16:07:12.455537824Z;eui-70b3d57ed00633b8;-54;13.5;11011;21.64;42.77;965.06;;;;42.00;5.00;40.20;33.69
